date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:48	2351/2351	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c2d88fc-92f%22	https://static.itch.io/images/itchio-textless-black.svg	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/images/itchio-textless-black.svg	(from https://static.itch.io/game.css?1649883624)
01:09:49	2368/2368	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-940%22	https://static.itch.io/images/itchio-textless-white.svg	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/images/itchio-textless-white.svg	(from https://static.itch.io/game.css?1649883624)
01:09:49	35251/35251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-89b3%22	https://static.itch.io/images/logo-textless-white-holiday.svg	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/images/logo-textless-white-holiday.svg	(from https://static.itch.io/game.css?1649883624)
01:09:49	2773/2773	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225db1d9ca-ad5%22	https://static.itch.io/images/itchio-textless-white-halloween.svg?2	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/images/itchio-textless-white-halloweenc81e.svg	(from https://static.itch.io/game.css?1649883624)
01:09:50	12688/12688	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-3190%22	https://static.itch.io/icons/fonts/icomoon.eot?4ibnvg	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/icons/fonts/icomoon053c.eot	(from https://static.itch.io/game.css?1649883624)
01:09:50	12524/12524	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-30ec%22	https://static.itch.io/icons/fonts/icomoon.ttf?4ibnvg	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/icons/fonts/icomoon053c.ttf	(from https://static.itch.io/game.css?1649883624)
01:09:50	12600/12600	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-3138%22	https://static.itch.io/icons/fonts/icomoon.woff?4ibnvg	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/icons/fonts/icomoon053c.woff	(from https://static.itch.io/game.css?1649883624)
01:09:51	40264/40264	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-9d48%22	https://static.itch.io/icons/fonts/icomoon.svg?4ibnvg	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/icons/fonts/icomoon053c.svg	(from https://static.itch.io/game.css?1649883624)
01:09:52	917/917	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2022:09:51%20GMT	https://www.google.com/recaptcha/api.js?onload=_itch_recaptcha_loaded&render=explicit	C:/Benim%20Web%20Sitem/248234782397934/www.google.com/recaptcha/apie757.js	(from https://static.itch.io/bundle.min.js?1649883624)
01:09:52	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%229ff98d82d25fefe10d2bbda117c74f82%22	http://connect.facebook.net/en_GB/sdk.js	C:/Benim%20Web%20Sitem/248234782397934/connect.facebook.net/en_GB/sdk.js	(from https://static.itch.io/bundle.min.js?1649883624)
01:09:53	99386/99386	---M-Z	200	added ('OK')	application/javascript	etag:%22f1369725ba22125b0df0251e74090aa0+gzip%22	http://platform.twitter.com/widgets.js	C:/Benim%20Web%20Sitem/248234782397934/platform.twitter.com/widgets.js	(from https://static.itch.io/bundle.min.js?1649883624)
01:09:53	6228/6228	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Apr%202022%2022:09:53%20GMT	https://trexy247xd.itch.io/ca.gif	C:/Benim%20Web%20Sitem/248234782397934/trexy247xd.itch.io/ca.57.delayed	(from https://static.itch.io/bundle.min.js?1649883624)
01:09:54	6228/6228	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Apr%202022%2022:09:53%20GMT	https://trexy247xd.itch.io/POST	C:/Benim%20Web%20Sitem/248234782397934/trexy247xd.itch.io/POST	(from https://static.itch.io/bundle.min.js?1649883624)
01:09:55	150/150	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-f9%22	https://static.itch.io/robots.txt		(from https://static.itch.io/game.css?1649883624)
01:09:55	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Apr%202022%2022:09:55%20GMT	https://static.itch.io/home/leafo/snowrepeat.png	C:/Benim%20Web%20Sitem/248234782397934/static.itch.io/home/leafo/snowrepeat.png	(from https://static.itch.io/images/snowrepeat.svg)
01:09:59	157876/157876	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2022:09:53%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Benim%20Web%20Sitem/248234782397934/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://static.itch.io/game.min.js?1649883624)
